3224	3498	968543560       
3319	2066	967917838       
2340	1380	974505953       
181	2791	977089080       
639	1031	979471588       
4651	2725	963952821       
131	1247	977431961       
2218	3917	974600259       
3678	2012	967053101       
5812	2028	957942847       
3778	1210	966033718       
4150	3798	965343361       
4913	1394	962677882       
1322	553	974786483       
5689	1049	965178035       
4506	2194	964983193       
4375	1991	966687549       
1285	3536	974792619       
2455	2641	974180372       
4088	1352	965431968       
5092	2947	962568225       
2776	818	973055210       
2041	2870	983032841       
3547	17	966835436       
3618	167	967119061       
3840	1011	965918027       
1426	1304	1043164674      
1128	3685	974907971       
895	3543	975220999       
3205	1196	968567262       
1068	3708	974949107       
1172	1682	974865848       
302	585	976506326       
3717	1597	966264453       
5570	1961	959310030       
4048	457	965498159       
5042	1079	962506948       
48	924	978130884       
3513	1343	966977152       
5576	1676	959694923       
5780	2616	958156569       
2173	1015	974614525       
3425	86	967351419       
4957	2405	962758699       
1068	2051	974949204       
660	2124	975690836       
1150	538	974873749       
524	1114	976173485       
2116	2501	974648111       
651	608	975707307       
2282	1358	978397651       
509	2803	976299078       
3804	1361	965968213       
4948	928	962641884       
1519	2502	974771334       
202	648	976939089       
2124	1971	974645538       
5556	356	959443991       
1401	1213	974763411       
2258	2100	982439778       
3419	1954	967396354       
4721	2881	963374880       
2643	3755	973566201       
4829	3755	962903504       
971	1240	975111644       
2747	322	973211279       
3850	1875	965880385       
1303	3030	974787452       
894	527	975225175       
1378	11	974766765       
2638	3361	973707050       
3108	1221	969494503       
4767	3287	968196207       
5943	2724	957200133       
5639	3145	958963041       
1579	2731	1010546740      
22	3608	978153018       
3313	34	967953595       
3512	2396	967153408       
4344	2312	966448408       
4238	1213	965310812       
1209	2110	974845397       
235	3683	976771554       
1676	1608	974797430       
3449	1617	967254694       
3685	2502	966866652       
4282	2302	965278521       
2233	1620	974600048       
3727	934	966223284       
4215	1150	965325665       
4361	2018	965186578       
5663	1356	958769052       
5853	2752	957747194       
2514	1212	974071338       
3578	2924	966709923       
4558	1911	964529545       
2438	1341	974302713       
1230	1374	974836466       
2886	457	972147904       
5185	3204	963402444       
2205	330	974606713       
3018	3868	970505946       
2453	3408	974192411       
749	1342	975460712       
4235	562	965311402       
3171	1221	969645863       
5239	34	961444128       
1276	1641	974798735       
461	2546	976229724       
4783	2273	963005721       
2820	157	972663462       
5555	1047	959461350       
4507	2959	964983282       
5109	2150	962455037       
639	3793	980476627       
2826	1284	972601673       
5659	2605	958787908       
3590	1090	966657527       
3792	570	966610243       
4384	1093	965363412       
1223	2997	974838299       
3999	2688	965572265       
4786	377	963001392       
4077	237	965444942       
4328	2750	1014825157      
2547	2657	974039555       
5722	759	977248432       
1465	2135	974767024       
927	468	979433201       
255	593	976678475       
4591	1035	964325650       
549	1876	976069678       
5574	589	959295531       
3705	337	966288334       
4510	161	966800313       
3224	537	968522968       
4250	3798	965308250       
3413	1307	1035013004      
1182	1244	974917825       
5826	1259	957897014       
1939	2937	974689841       
5449	1544	959949475       
3180	2003	968801172       
4579	2694	1008575274      
2621	163	973655770       
3885	246	973715435       
204	1136	983856805       
3778	3271	966046583       
2072	930	974659067       
2631	1125	973614262       
749	2527	996556838       
3705	3333	966284433       
2011	800	974676246       
3320	1287	967921297       
5187	3639	961723697       
4356	1835	965193773       
5916	350	957461235       
4979	1275	962605310       
649	3863	975705593       
5008	2427	967432362       
5954	2517	957705514       
